category	alpha_global	alpha_global_se	alpha_global_ci99_low	alpha_global_ci99_high	beta_global_log	beta_global_log_se	beta_global_ci99_low	beta_global_ci99_high	n_genomes_used	r_squared	p_value
0000015	0.08374274018713455	0.010234934079789459	0.05737754999759691	0.1101079303766722	-0.6310026131345768	0.08454971546089567	-0.848802680161844	-0.4132025461073096	2084	0.03115291896331751	0.0
0000049	0.1269994799010128	0.019190273062278676	0.07756533649258292	0.17643362330944268	-0.08715120005641719	0.15817573399177257	-0.49461189081922335	0.320309490706389	2154	0.01994570741789181	7.780442956573097e-13
0000155	1.4612892103721167	0.035544581451642826	1.3697263685526848	1.5528520521915485	-9.467068927798987	0.2931360331778755	-10.222187349265194	-8.71195050633278	2140	0.44150585631254446	0.0
0000156	1.168816750470301	0.03770557046893566	1.0716872009423228	1.2659462999982793	-7.093317507137293	0.311107905618618	-7.894731472010853	-6.291903542263733	2136	0.31048031793211883	0.0
0000160	1.611201152705643	0.026237009559138862	1.5436146160813011	1.6787876893299847	-9.896468002135842	0.21627187954244725	-10.453584363837187	-9.339351640434497	2164	0.6356051469035234	0.0
0000166	0.5694164613897233	0.014530448223012785	0.5319860267672424	0.6068468960122043	-1.3852955042412014	0.11977460086302345	-1.6938348760643498	-1.076756132418053	2164	0.41530977739288377	0.0
0000179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2157	0.0	
0000271	0.6970663446492676	0.034007697102271896	0.6094625169138153	0.78467017238472	-4.250106230980419	0.28103413495756335	-4.9740501626311024	-3.5261622993297363	2078	0.16831579946494546	0.0
0000287	0.5807994845738856	0.014642580750350206	0.5430801965609835	0.6185187725867878	-1.9262231749683023	0.12069891018228662	-2.237143567597873	-1.615302782338732	2164	0.42120093150379945	0.0
0000311	0.0007805537536320962	0.0007493927690600464	-0.0011498820194665834	0.0027109895267307758	-0.006105147271047227	0.006177250586230866	-0.02201774478117794	0.009807450239083484	2164	0.0005015486578425765	0.5012431808741429
0000314	0.03197696875453634	0.008547124513737204	0.0099595760071493	0.053994361501923376	0.7465856830549871	0.07045401569499375	0.5650961386246831	0.928075227485291	2164	0.006432447260895646	0.0001349295258568084
0000315	-0.00427835466029722	0.00263166481344627	-0.011057523219734813	0.0025008138991403717	1.1303739554672745	0.021692834095549618	1.0744932148371387	1.1862546960974103	2164	0.001220973233270528	1.8141039583642544
0000910	0.18346830006558623	0.024595835450720752	0.12010942794452957	0.2468271721866429	-0.7139754610538598	0.20279410857829253	-1.2363730847515413	-0.19157783735617817	2140	0.025364906184809244	4.440892098500626e-16
0001522	0.13364926736236415	0.019882764889462504	0.08243126500710873	0.18486726971761958	0.7590070397444648	0.1638937899325814	0.33681663687813507	1.1811974426107945	2164	0.020471099775380308	3.219646771412954e-13
0002949	0.07422502735932666	0.006380039644759088	0.057790045234427254	0.09066000948422608	0.4769145124890758	0.052590717795685527	0.3414408234473899	0.6123882015307617	2164	0.05891516054272916	0.0
0003676	0.7142721037100266	0.01624595936530158	0.6724225123850097	0.7561216950350435	-2.8134127010952503	0.13391557292321682	-3.1583792169454568	-2.468446185245044	2164	0.4720418255799532	0.0
0003677	1.1505716502445382	0.01353332466127347	1.1157098059170978	1.1854334945719787	-4.290298516826794	0.11155530337230365	-4.577664978313848	-4.002932055339739	2164	0.7697551372699709	0.0
0003678	0.28230009851267	0.015952603321458012	0.24120619235659418	0.32339400466874585	-0.4251703010421515	0.13149743670863873	-0.7639076980036048	-0.08643290408069809	2164	0.12651924162100248	0.0
0003684	0.4351210983418143	0.017684546682709117	0.38956570608715557	0.480676490596473	-2.2204865069754476	0.14578808932811785	-2.5960366250846794	-1.844936388866216	2161	0.21899476099508808	0.0
0003688	0.008343506555615622	0.003645332232458284	-0.001046869275196918	0.01773388238642816	-0.0612518111694774	0.030063615599853488	-0.1386956849547	0.01619206261574519	2135	0.0024500040788327793	0.03561259624442381
0003697	0.33486612402293564	0.01828484633427571	0.2877643598658414	0.38196788818002986	-1.3727763730958087	0.15072754405443994	-1.761050526580046	-0.9845022196115714	2163	0.13435259668894695	0.0
0003700	1.8036865717364456	0.023815003948703794	1.7423391215645847	1.8650340219083066	-10.459352690735981	0.19632042416916984	-10.965074103395763	-9.9536312780762	2163	0.7263571273323604	0.0
0003723	0.24047188897528635	0.008329983063273472	0.21901385260429387	0.2619299253462788	1.5449636442997985	0.06866411698292782	1.3680848789517763	1.7218424096478206	2164	0.27822055534808565	0.0
0003725	0.24930434954219272	0.018578955258977257	0.2014449607950673	0.29716373828931814	-1.6703137217885882	0.15333632254615703	-2.065308088667489	-1.2753193549096875	2126	0.07814898788996472	0.0
0003735	0.046002391932701454	0.0017679841478165142	0.04144806476792611	0.0505567190974768	3.6138886952420406	0.014573507464243164	3.5763473400141503	3.651430050469931	2164	0.2384706981458795	0.0
0003743	0.09766112870322968	0.006056402780899547	0.08205983513963244	0.11326242226682692	0.3525669390392979	0.049922976539641895	0.2239653514731804	0.4811685266054154	2164	0.10735826332361909	0.0
0003746	0.14546331590396133	0.011016197511939564	0.11708559111320502	0.17384104069471765	0.42475921359607494	0.09080660415768044	0.1908414012858901	0.6586770259062598	2164	0.07462838175640385	0.0
0003755	0.5407165183116049	0.02394858952656725	0.4790249516911677	0.6024080849320422	-2.779887093159877	0.19740841491964842	-3.2884111699928917	-2.2713630163268625	2164	0.19080042925711516	0.0
0003824	1.3568267755091064	0.019603476175698083	1.306328220880508	1.4073253301377047	-7.5611042069736065	0.16159161083230414	-7.977364196477622	-7.144844217469591	2164	0.6890336040453555	0.0
0003883	0.015905116058395986	0.004210386899956836	0.005059159404107177	0.026751072712684794	-0.12154436915268067	0.03478133271485339	-0.211141082226143	-0.031947656079218345	2078	0.0068269582504566495	0.00011338931544990771
0003887	0.2967002169206791	0.012391408717013639	0.26477994806565197	0.32862048577570624	-0.4037379075655618	0.10214248111495385	-0.6668569389176829	-0.1406188762134407	2164	0.20959783612807448	0.0
0003899	0.0774306859419611	0.012138908651779013	0.046160857254978364	0.10870051462894384	1.002505730623695	0.10006112105866412	0.7447482827765763	1.2602631784708138	2164	0.01847200043273023	5.630607091688944e-12
0003911	0.17612456183204261	0.011496329869941674	0.14651001608707287	0.20573910757701236	-1.3576449332921743	0.09478500880349841	-1.6018111159699862	-1.1134787506143624	2142	0.09883524484938455	0.0
0003916	0.03847884321163743	0.02524852905603133	-0.02656136763669928	0.10351905405997414	0.07963599979699593	0.20802422220855146	-0.4562343966122327	0.6155063962062246	2138	0.0010861720620236603	0.22795561693324307
0003918	0.11591626486513154	0.01631004444703638	0.07390159036956583	0.15793093936069724	0.2256495324863972	0.13444382676427197	-0.12067776525836743	0.5719768302311619	2164	0.02282933182421254	1.0880185641326534e-14
0003922	-0.003395295412276685	0.004615739240215779	-0.015285439695072532	0.008494848870519163	0.039734225215513244	0.03805497560284861	-0.05829539193742478	0.13776384236845127	2153	0.0002514912942663816	1.2914049317264333
0003924	0.29785400635330345	0.009222488087596185	0.2740968770396557	0.3216111356669512	0.258532276728102	0.07602104303337083	0.0627020698741387	0.4543624835820652	2164	0.32544235062220284	0.0
0003937	0.01422758036557344	0.0056093753934477394	-0.00022217064794793732	0.02867733137909482	-0.10088291429265207	0.046335181511767826	-0.220242341866966	0.018476513281661847	2084	0.0030804380382651875	0.016646435021396844
0003938	0.2356590871921131	0.020806383256829895	0.18206184392251928	0.2892563304617069	-1.7240764875828296	0.17163914757591767	-2.1662189317383937	-1.2819340434272657	2139	0.05663075918962557	0.0
0004018	0.005062785678076978	0.005778495682042201	-0.009822619198863732	0.01994819055501769	-0.02365667238066305	0.047666141417211295	-0.14644465267139936	0.09913130791007325	2141	0.0003587425469305794	0.6134321041233077
