category	Z_alpha_category	Z_beta_category	n_envs_used
0000015	1.745896569707038	1.7280589605959964	8
0000049	2.1248532451263786	2.147064230881258	8
0000155	1.506098225052391	1.5009534329797	8
0000156	2.1078906162203026	2.0241764589286864	8
0000160	2.8575637158392477	2.869856375073647	8
0000166	2.68839423807495	2.581963545821838	8
0000271	1.8195328090717198	1.808765776919021	8
0000287	2.07011025501113	2.031216181058504	8
0000314	1.3737196350541558	1.3621326683923847	8
0000315	1.757815586931104	1.668041581307345	8
0000910	1.649518664352374	1.571990751779424	8
0001522	3.1846694533040067	3.1168263181979063	8
0002949	2.3105491150211686	2.292769907944241	8
0003676	2.3609812516638455	2.3752082968933363	8
0003677	2.3425817892977268	2.4015639192524825	8
0003678	1.6361315070323166	1.655833333058767	8
0003684	1.9468385325090811	1.9716332665514602	8
0003688	1.2832283359382866	1.270533241394899	6
0003697	1.9299020207204534	1.95601040248905	8
0003700	2.742270462297872	2.808870169785083	8
0003723	1.5043232084738858	1.5020035050999567	8
0003725	1.5713949780097858	1.5554051141566771	8
0003735	2.694099993998994	2.737309402819775	8
0003743	2.363524283705715	2.249760432411468	8
0003746	1.5194330110019232	1.541875388031235	8
0003755	1.7185667030101393	1.7158602155403324	8
0003824	5.206484575803551	5.384233934287276	8
0003883	0.9255938251812897	0.884125189984507	4
0003887	1.7141313291697593	1.7764423430385676	8
0003899	1.822951041357533	1.8843335971426196	8
0003911	2.1256204884973546	2.0441649622066014	8
0003916	2.209733073938968	2.130955529133346	8
0003918	2.5522624804803127	2.6310056461220066	8
0003922	1.446114800824982	1.353978181601855	5
0003924	2.4971021092572463	2.5230267704315796	8
0003937	1.001639683824202	0.9683806800922058	8
0003938	2.7697717172817504	2.627601319752248	8
0004018	0.8406243309285957	0.8544735707742057	7
0004019	2.1988348249365486	2.172731629661925	8
0004045	2.7309141097975433	2.7537428862849174	8
0004073	4.692735279881192	4.645936681402037	8
0004088	1.4034449912776363	1.4583066477575304	8
0004107	1.920528750979493	1.8608320854020726	6
0004140	1.1496119208347162	1.1503167555297626	5
0004190	2.2081651364361226	2.2094546043195105	8
0004222	1.0784660487374755	0.9724163538713557	8
0004252	2.8341987272269176	2.7992090035365718	8
0004326	2.662395312855479	2.7606060709771967	8
0004332	1.4847597960567456	1.444313649860796	8
0004356	1.8479013593659162	1.8203792972332709	8
0004360	5.280865340324806	5.244589357841468	8
0004372	5.5904030845842945	5.523771763811686	8
0004385	1.9729344651138268	2.038446372223648	7
0004386	2.3888951273538788	2.3409875546593244	8
0004478	1.5374667373651199	1.5466002789984177	8
0004479	3.7641248744542075	3.702056198075342	8
0004518	2.225553813742936	2.1631701505844436	8
0004519	1.2099623615008144	1.2027927034084605	8
0004523	1.5537226147914658	1.505132701064883	8
0004525	1.7091084428029775	1.6746490883083933	6
0004540	2.0596706485588956	2.17220922676546	8
0004553	1.7065317739000483	1.7025618062766537	8
0004588	2.0653965652896145	2.02637231912838	6
0004590	1.7306269350800898	1.7569033609519975	8
0004595	1.9532420177616314	1.9364611585429459	5
0004634	1.745896569707038	1.7280589605959964	8
0004637	0.676195527859461	0.6711876632348721	5
0004638	1.9828792885912188	1.9933889948567616	8
0004643	1.2246841900802659	1.1798341262514431	8
0004644	3.625407631722838	3.583079328417648	8
0004654	0.8544523080225492	0.8553411692021046	2
0004673	1.6780691720683527	1.641948689652073	8
0004743	1.570112970002914	1.5593615625244825	8
0004750	1.7020172621753955	1.6584918558326267	8
0004791	1.1482682373034934	1.1386819911576498	8
0004807	1.1890360724292484	1.138187220156355	8
0004812	1.895501185323484	1.8892451408623796	8
0004813	1.506970105186961	1.446711724961702	8
0004814	1.4173814078629385	1.3617816179581645	7
0004817	1.054932784517496	1.0346679119065259	8
0004818	1.7432102074598421	1.7691271759260427	8
0004820	2.1113611898650255	2.0128600526614284	8
0004821	1.2388667985372042	1.2164109457942964	6
0004822	1.6044545441378135	1.5513309644758893	5
0004823	2.262131024025945	2.2027760321328023	4
0004824	1.540472912204149	1.523132784065391	8
0004825	2.2983213215308353	2.2651340483877926	7
0004826	2.457436447540563	2.4523815833651597	8
0004827	1.9623411075503587	1.8959957711657736	8
0004828	1.9501041750520545	1.8943901130828356	6
0004829	2.219001376387467	2.1826041954974	8
0004830	3.1692296580358312	3.150889874571162	8
0004831	1.1972256609054908	1.1597450948784847	8
0004832	4.383686529590249	4.284703127487678	4
0005048	0.19109107307266493	0.20103236261499477	2
0005215	1.6148657197336598	1.5888086036500548	8
0005506	3.6561112761701513	3.6538128756591965	8
0005515	2.3568791913467524	2.3972331834364855	8
0005524	3.723629133445794	3.6693957437842983	8
0005525	2.1920615994659025	2.196331869218431	8
0005694	2.7196019831247997	2.708625402857917	8
0005737	1.6757061985883202	1.6000753129376926	8
0005829	1.2556384086906514	1.3247809145449112	8
0005840	2.9412255218388723	2.971789232113371	8
0005854	0.7005585293871268	0.7002677895671326	7
0005886	2.4395047212748255	2.3947609917382424	8
0005975	2.1686576362886973	2.133082861783064	8
0006006	1.8208014402096955	1.852213689733259	8
