category	short_label	full_label	super_category
0000015	phosphopyruvate hydratase complex	phosphopyruvate hydratase complex (GO:0000015)	
0000049	tRNA binding	tRNA binding (GO:0000049)	
0000155	phosphorelay sensor kinase activity	phosphorelay sensor kinase activity (GO:0000155)	
0000156	phosphorelay response regulator activity	phosphorelay response regulator activity (GO:0000156)	
0000160	phosphorelay signal transduction system	phosphorelay signal transduction system (GO:0000160)	
0000166	nucleotide binding	nucleotide binding (GO:0000166)	
0000179	rRNA (adenine-N6,N6-)-dimethyltransfe...	rRNA (adenine-N6,N6-)-dimethyltransferase activity (GO:0000179)	
0000271	polysaccharide biosynthetic process	polysaccharide biosynthetic process (GO:0000271)	
0000287	magnesium ion binding	magnesium ion binding (GO:0000287)	
0000311	plastid large ribosomal subunit	plastid large ribosomal subunit (GO:0000311)	
0000314	organellar small ribosomal subunit	organellar small ribosomal subunit (GO:0000314)	
0000315	organellar large ribosomal subunit	organellar large ribosomal subunit (GO:0000315)	
0000910	cytokinesis	cytokinesis (GO:0000910)	
0001522	pseudouridine synthesis	pseudouridine synthesis (GO:0001522)	
0002949	tRNA threonylcarbamoyladenosine modif...	tRNA threonylcarbamoyladenosine modification (GO:0002949)	
0003676	nucleic acid binding	nucleic acid binding (GO:0003676)	
0003677	DNA binding	DNA binding (GO:0003677)	
0003678	DNA helicase activity	DNA helicase activity (GO:0003678)	
0003684	damaged DNA binding	damaged DNA binding (GO:0003684)	
0003688	DNA replication origin binding	DNA replication origin binding (GO:0003688)	
0003697	single-stranded DNA binding	single-stranded DNA binding (GO:0003697)	
0003700	DNA-binding transcription factor acti...	DNA-binding transcription factor activity (GO:0003700)	
0003723	RNA binding	RNA binding (GO:0003723)	
0003725	double-stranded RNA binding	double-stranded RNA binding (GO:0003725)	
0003735	structural constituent of ribosome	structural constituent of ribosome (GO:0003735)	
0003743	translation initiation factor activity	translation initiation factor activity (GO:0003743)	
0003746	translation elongation factor activity	translation elongation factor activity (GO:0003746)	
0003755	peptidyl-prolyl cis-trans isomerase a...	peptidyl-prolyl cis-trans isomerase activity (GO:0003755)	
0003824	catalytic activity	catalytic activity (GO:0003824)	
0003883	CTP synthase activity	CTP synthase activity (GO:0003883)	
0003887	DNA-directed DNA polymerase activity	DNA-directed DNA polymerase activity (GO:0003887)	
0003899	DNA-directed RNA polymerase activity	DNA-directed RNA polymerase activity (GO:0003899)	
0003911	DNA ligase (NAD+) activity	DNA ligase (NAD+) activity (GO:0003911)	
0003916	DNA topoisomerase activity	DNA topoisomerase activity (GO:0003916)	
0003918	DNA topoisomerase type II (double str...	DNA topoisomerase type II (double strand cut, ATP- (GO:0003918)	
0003922	GMP synthase (glutamine-hydrolyzing) ...	GMP synthase (glutamine-hydrolyzing) activity (GO:0003922)	
0003924	GTPase activity	GTPase activity (GO:0003924)	
0003937	IMP cyclohydrolase activity	IMP cyclohydrolase activity (GO:0003937)	
0003938	IMP dehydrogenase activity	IMP dehydrogenase activity (GO:0003938)	
0004018	N6-(1,2-dicarboxyethyl)AMP AMP-lyase ...	N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-for (GO:0004018)	
0004019	adenylosuccinate synthase activity	adenylosuccinate synthase activity (GO:0004019)	
0004045	peptidyl-tRNA hydrolase activity	peptidyl-tRNA hydrolase activity (GO:0004045)	
0004073	aspartate-semialdehyde dehydrogenase ...	aspartate-semialdehyde dehydrogenase activity (GO:0004073)	
0004088	carbamoyl-phosphate synthase (glutami...	carbamoyl-phosphate synthase (glutamine-hydrolyzin (GO:0004088)	
0004107	chorismate synthase activity	chorismate synthase activity (GO:0004107)	
0004140	dephospho-CoA kinase activity	dephospho-CoA kinase activity (GO:0004140)	
0004190	aspartic-type endopeptidase activity	aspartic-type endopeptidase activity (GO:0004190)	
0004222	metalloendopeptidase activity	metalloendopeptidase activity (GO:0004222)	
0004252	serine-type endopeptidase activity	serine-type endopeptidase activity (GO:0004252)	
0004326	tetrahydrofolylpolyglutamate synthase...	tetrahydrofolylpolyglutamate synthase activity (GO:0004326)	
0004332	fructose-bisphosphate aldolase activity	fructose-bisphosphate aldolase activity (GO:0004332)	
0004356	glutamine synthetase activity	glutamine synthetase activity (GO:0004356)	
0004360	glutamine-fructose-6-phosphate transa...	glutamine-fructose-6-phosphate transaminase (isome (GO:0004360)	
0004372	glycine hydroxymethyltransferase acti...	glycine hydroxymethyltransferase activity (GO:0004372)	
0004385	GMP kinase activity	GMP kinase activity (GO:0004385)	
0004386	helicase activity	helicase activity (GO:0004386)	
0004478	methionine adenosyltransferase activity	methionine adenosyltransferase activity (GO:0004478)	
0004479	methionyl-tRNA formyltransferase acti...	methionyl-tRNA formyltransferase activity (GO:0004479)	
0004518	nuclease activity	nuclease activity (GO:0004518)	
0004519	endonuclease activity	endonuclease activity (GO:0004519)	
0004523	RNA-DNA hybrid ribonuclease activity	RNA-DNA hybrid ribonuclease activity (GO:0004523)	
0004525	ribonuclease III activity	ribonuclease III activity (GO:0004525)	
0004526	ribonuclease P activity	ribonuclease P activity (GO:0004526)	
0004540	RNA nuclease activity	RNA nuclease activity (GO:0004540)	
0004553	hydrolase activity, hydrolyzing O-gly...	hydrolase activity, hydrolyzing O-glycosyl compoun (GO:0004553)	
0004588	orotate phosphoribosyltransferase act...	orotate phosphoribosyltransferase activity (GO:0004588)	
0004590	orotidine-5'-phosphate decarboxylase ...	orotidine-5'-phosphate decarboxylase activity (GO:0004590)	
0004595	pantetheine-phosphate adenylyltransfe...	pantetheine-phosphate adenylyltransferase activity (GO:0004595)	
0004634	phosphopyruvate hydratase activity	phosphopyruvate hydratase activity (GO:0004634)	
0004637	phosphoribosylamine-glycine ligase ac...	phosphoribosylamine-glycine ligase activity (GO:0004637)	
0004638	phosphoribosylaminoimidazole carboxyl...	phosphoribosylaminoimidazole carboxylase activity (GO:0004638)	
0004643	phosphoribosylaminoimidazolecarboxami...	phosphoribosylaminoimidazolecarboxamide formyltran (GO:0004643)	
0004644	phosphoribosylglycinamide formyltrans...	phosphoribosylglycinamide formyltransferase activi (GO:0004644)	
0004654	polyribonucleotide nucleotidyltransfe...	polyribonucleotide nucleotidyltransferase activity (GO:0004654)	
0004673	protein histidine kinase activity	protein histidine kinase activity (GO:0004673)	
0004743	pyruvate kinase activity	pyruvate kinase activity (GO:0004743)	
0004750	D-ribulose-phosphate 3-epimerase acti...	D-ribulose-phosphate 3-epimerase activity (GO:0004750)	
0004791	thioredoxin-disulfide reductase (NADP...	thioredoxin-disulfide reductase (NADPH) activity (GO:0004791)	
0004807	triose-phosphate isomerase activity	triose-phosphate isomerase activity (GO:0004807)	
0004812	aminoacyl-tRNA ligase activity	aminoacyl-tRNA ligase activity (GO:0004812)	
0004813	alanine-tRNA ligase activity	alanine-tRNA ligase activity (GO:0004813)	
0004814	arginine-tRNA ligase activity	arginine-tRNA ligase activity (GO:0004814)	
0004817	cysteine-tRNA ligase activity	cysteine-tRNA ligase activity (GO:0004817)	
0004818	glutamate-tRNA ligase activity	glutamate-tRNA ligase activity (GO:0004818)	
0004820	glycine-tRNA ligase activity	glycine-tRNA ligase activity (GO:0004820)	
0004821	histidine-tRNA ligase activity	histidine-tRNA ligase activity (GO:0004821)	
0004822	isoleucine-tRNA ligase activity	isoleucine-tRNA ligase activity (GO:0004822)	
0004823	leucine-tRNA ligase activity	leucine-tRNA ligase activity (GO:0004823)	
0004824	lysine-tRNA ligase activity	lysine-tRNA ligase activity (GO:0004824)	
0004825	methionine-tRNA ligase activity	methionine-tRNA ligase activity (GO:0004825)	
0004826	phenylalanine-tRNA ligase activity	phenylalanine-tRNA ligase activity (GO:0004826)	
0004827	proline-tRNA ligase activity	proline-tRNA ligase activity (GO:0004827)	
0004828	serine-tRNA ligase activity	serine-tRNA ligase activity (GO:0004828)	
